unix,open,high,low,close,Volume BTC,Volume USDC
1663365600,19738.000000,19768.000000,19736.000000,19736.000000,0.325885,6431.657084
1663362000,19742.000000,19773.000000,19735.000000,19735.000000,0.016438,324.404127
1663358400,19669.000000,19730.000000,19669.000000,19729.000000,0.102776,2027.663166
1663354800,19567.000000,19619.000000,19567.000000,19619.000000,0.157167,3083.454076
1663351200,19452.000000,19563.000000,19392.000000,19556.000000,0.232251,4541.908770
1663347600,19531.000000,19534.000000,19352.000000,19453.000000,1.079634,21002.116311
1663344000,19605.000000,19608.000000,19506.000000,19524.000000,0.837145,16344.419175
1663340400,19641.000000,19741.000000,19586.000000,19647.000000,2.892564,56830.211981
1663336800,19530.000000,19701.000000,19494.000000,19701.000000,0.117877,2322.287882
1663333200,19744.000000,19744.000000,19448.000000,19509.000000,1.253137,24447.447587
1663329600,19814.000000,19816.000000,19685.000000,19687.000000,0.630040,12403.587833
1663326000,19806.000000,19859.000000,19785.000000,19859.000000,0.647815,12864.965830
1663322400,19766.000000,19799.000000,19766.000000,19799.000000,0.039107,774.282859
1663318800,19766.000000,19766.000000,19766.000000,19766.000000,0.005059,99.999950
1663315200,19755.000000,19755.000000,19661.000000,19661.000000,0.109803,2158.841305
1663311600,19768.000000,19793.000000,19735.000000,19752.000000,0.292320,5773.903652
1663308000,19809.000000,19809.000000,19809.000000,19809.000000,0.000000,0.000000
1663304400,19809.000000,19809.000000,19809.000000,19809.000000,0.003584,70.999814
1663300800,19775.000000,19790.000000,19748.000000,19790.000000,0.874475,17305.858073
1663297200,19730.000000,19730.000000,19730.000000,19730.000000,0.076025,1499.978577
1663293600,19709.000000,19709.000000,19709.000000,19709.000000,0.000800,15.767200
1663290000,19646.000000,19646.000000,19646.000000,19646.000000,0.000000,0.000000
1663286400,19646.000000,19646.000000,19646.000000,19646.000000,0.002022,39.721658
1663282800,19720.000000,19720.000000,19719.000000,19719.000000,0.001854,36.559815
1663279200,19659.000000,19659.000000,19652.000000,19652.000000,0.858586,16872.937182
1663275600,19804.000000,19818.000000,19804.000000,19818.000000,0.002665,52.820519
1663272000,19851.000000,19861.000000,19851.000000,19861.000000,0.014989,297.692557
1663268400,19713.000000,19785.000000,19713.000000,19785.000000,0.006254,123.740138
1663264800,19766.000000,19851.000000,19766.000000,19851.000000,0.052394,1040.082227
1663261200,19911.000000,19932.000000,19821.000000,19821.000000,0.344187,6822.137068
1663257600,19683.000000,19878.000000,19683.000000,19823.000000,0.219691,4354.937468
1663254000,19696.000000,19814.000000,19500.000000,19814.000000,1.680916,33305.664671
1663250400,20155.000000,20155.000000,19643.000000,19694.000000,2.390844,47085.284493
1663246800,20133.000000,20133.000000,20014.000000,20014.000000,0.234030,4683.875419
1663243200,20115.000000,20170.000000,20093.000000,20147.000000,1.228959,24759.841607
1663239600,20115.000000,20188.000000,20113.000000,20187.000000,0.045376,916.014598
1663236000,20133.000000,20159.000000,20122.000000,20150.000000,1.317957,26556.841610
1663232400,20139.000000,20164.000000,20089.000000,20149.000000,0.085445,1721.626066
1663228800,20178.000000,20206.000000,20060.000000,20140.000000,1.062423,21397.206269
1663225200,20221.000000,20222.000000,20160.000000,20193.000000,0.085175,1719.936352
1663221600,20042.000000,20169.000000,20033.000000,20142.000000,2.166106,43629.707858
1663218000,20096.000000,20135.000000,20096.000000,20135.000000,0.172798,3479.289341
1663214400,20013.000000,20013.000000,20013.000000,20013.000000,0.019839,397.047513
1663210800,20040.000000,20040.000000,20040.000000,20040.000000,0.274438,5499.733312
1663207200,20064.000000,20064.000000,20064.000000,20064.000000,0.080000,1605.120000
1663203600,20058.000000,20119.000000,20058.000000,20119.000000,0.015017,302.135674
1663200000,20240.000000,20240.000000,20210.000000,20211.000000,0.896662,18122.440937
1663196400,20298.000000,22134.000000,20269.000000,20270.000000,0.820947,16640.590825
1663192800,20058.000000,20058.000000,20058.000000,20058.000000,0.000000,0.000000
1663189200,19935.000000,20058.000000,19935.000000,20058.000000,0.500450,10038.028507
