unix,open,high,low,close,Volume BTC,Volume USDT
1741230000,91440.000000,91440.000000,91440.000000,91440.000000,0.001818,166.248893
1741226400,91643.000000,91667.000000,91512.000000,91512.000000,0.008264,756.288112
1741222800,90172.000000,91751.000000,90158.000000,91147.000000,0.091073,8301.004298
1741219200,90749.000000,90749.000000,90071.000000,90099.000000,0.016816,1515.132715
1741215600,90787.000000,90995.000000,90632.000000,90632.000000,0.012889,1168.167630
1741212000,90299.000000,90358.000000,90175.000000,90328.000000,0.338600,30585.074349
1741208400,90446.000000,90446.000000,90017.000000,90348.000000,0.277034,25029.424465
1741204800,90070.000000,90485.000000,90062.000000,90451.000000,0.702791,63568.153264
1741201200,89953.000000,89953.000000,89703.000000,89846.000000,0.005898,529.879363
1741197600,89112.000000,89662.000000,89004.000000,89662.000000,0.079506,7128.676835
1741194000,88807.000000,90443.000000,88807.000000,89950.000000,0.102538,9223.319186
1741190400,88200.000000,88200.000000,87895.000000,88045.000000,0.614702,54121.480732
