unix,date,symbol,open,high,low,close,Volume XRP,Volume BTC
1585872000,2020-04-03 00:00:00,XRP/BTC,0.000026,0.000027,0.000026,0.000027,4498831.425154,119.848869
1585785600,2020-04-02 00:00:00,XRP/BTC,0.000026,0.000027,0.000026,0.000026,5727995.139743,150.417152
1585699200,2020-04-01 00:00:00,XRP/BTC,0.000027,0.000028,0.000026,0.000026,4152416.652499,109.416179
1585612800,2020-03-31 00:00:00,XRP/BTC,0.000027,0.000028,0.000027,0.000027,1218104.887410,32.961918
1585526400,2020-03-30 00:00:00,XRP/BTC,0.000028,0.000028,0.000026,0.000027,1866460.195416,49.946475
1585440000,2020-03-29 00:00:00,XRP/BTC,0.000028,0.000028,0.000027,0.000028,2277426.857954,63.130273
1585353600,2020-03-28 00:00:00,XRP/BTC,0.000027,0.000029,0.000027,0.000028,3380401.876209,95.158313
1585267200,2020-03-27 00:00:00,XRP/BTC,0.000026,0.000028,0.000026,0.000027,4793838.240847,130.296523
1585180800,2020-03-26 00:00:00,XRP/BTC,0.000024,0.000026,0.000024,0.000026,2801227.083313,73.252088
1585094400,2020-03-25 00:00:00,XRP/BTC,0.000024,0.000025,0.000024,0.000024,1991306.803788,48.149799
1585008000,2020-03-24 00:00:00,XRP/BTC,0.000024,0.000025,0.000024,0.000024,2053252.077471,49.503908
1584921600,2020-03-23 00:00:00,XRP/BTC,0.000026,0.000026,0.000024,0.000024,2486528.976962,60.870229
1584835200,2020-03-22 00:00:00,XRP/BTC,0.000026,0.000026,0.000025,0.000025,1283611.123126,32.642231
1584748800,2020-03-21 00:00:00,XRP/BTC,0.000025,0.000026,0.000025,0.000026,2788172.766297,71.293578
1584662400,2020-03-20 00:00:00,XRP/BTC,0.000027,0.000027,0.000025,0.000025,3638821.436538,91.843853
1584576000,2020-03-19 00:00:00,XRP/BTC,0.000027,0.000028,0.000026,0.000027,4375063.075820,117.032937
1584489600,2020-03-18 00:00:00,XRP/BTC,0.000028,0.000028,0.000027,0.000027,3359501.451207,91.949555
1584403200,2020-03-17 00:00:00,XRP/BTC,0.000028,0.000028,0.000027,0.000028,2485543.489511,68.725277
1584316800,2020-03-16 00:00:00,XRP/BTC,0.000029,0.000029,0.000028,0.000028,9247288.162322,259.848797
1584230400,2020-03-15 00:00:00,XRP/BTC,0.000028,0.000029,0.000027,0.000028,3123064.558886,88.944879
1584144000,2020-03-14 00:00:00,XRP/BTC,0.000028,0.000029,0.000028,0.000028,4617420.541618,130.026562
1584057600,2020-03-13 00:00:00,XRP/BTC,0.000028,0.000030,0.000027,0.000028,16199668.805622,460.394587
1583971200,2020-03-12 00:00:00,XRP/BTC,0.000026,0.000029,0.000025,0.000028,17477748.325831,495.144610
1583884800,2020-03-11 00:00:00,XRP/BTC,0.000027,0.000027,0.000026,0.000026,1054256.200909,27.674225
1583798400,2020-03-10 00:00:00,XRP/BTC,0.000026,0.000027,0.000026,0.000027,1188272.312921,31.762519
1583712000,2020-03-09 00:00:00,XRP/BTC,0.000025,0.000027,0.000025,0.000026,2478099.917452,65.446619
1583625600,2020-03-08 00:00:00,XRP/BTC,0.000026,0.000027,0.000024,0.000025,2215392.508572,56.226662
1583539200,2020-03-07 00:00:00,XRP/BTC,0.000027,0.000027,0.000026,0.000027,923341.631140,24.570121
1583452800,2020-03-06 00:00:00,XRP/BTC,0.000027,0.000027,0.000026,0.000027,2396826.162495,64.210973
1583366400,2020-03-05 00:00:00,XRP/BTC,0.000027,0.000027,0.000026,0.000026,793769.519145,20.955515
1583280000,2020-03-04 00:00:00,XRP/BTC,0.000027,0.000027,0.000027,0.000027,1190144.174351,31.883962
1583193600,2020-03-03 00:00:00,XRP/BTC,0.000027,0.000027,0.000027,0.000027,802507.161411,21.467067
1583107200,2020-03-02 00:00:00,XRP/BTC,0.000027,0.000027,0.000027,0.000027,910287.719292,24.495843
1583020800,2020-03-01 00:00:00,XRP/BTC,0.000027,0.000027,0.000026,0.000027,1657791.814740,44.196730
1582934400,2020-02-29 00:00:00,XRP/BTC,0.000027,0.000028,0.000027,0.000027,1138352.835584,30.553390
1582848000,2020-02-28 00:00:00,XRP/BTC,0.000027,0.000027,0.000027,0.000027,1360813.015381,37.082155
1582761600,2020-02-27 00:00:00,XRP/BTC,0.000026,0.000028,0.000026,0.000027,6334157.195978,170.325487
1582675200,2020-02-26 00:00:00,XRP/BTC,0.000027,0.000027,0.000026,0.000026,3037671.499555,78.766822
1582588800,2020-02-25 00:00:00,XRP/BTC,0.000028,0.000028,0.000027,0.000027,1911206.166665,51.793687
1582502400,2020-02-24 00:00:00,XRP/BTC,0.000028,0.000028,0.000028,0.000028,876261.229504,24.517789
1582416000,2020-02-23 00:00:00,XRP/BTC,0.000028,0.000029,0.000028,0.000028,257402.611254,7.323104
